dataset_id,canonical_name,top_level_role,secondary_role,domain,biosample,raman_or_sers,raw_path,raw_file_count,spectral_record_count,independent_sample_count,independent_patient_count,independent_analyte_count,currently_used_v3_1,currently_used_src_gaira,evidence_tier,provenance_status,known_limitations
otc_drugs,OTC drug Raman,calibration,,reference,drugs,Raman,/Volumes/SSD_Rad/GAIRA_DATA/raw/otc_drugs,14 xlsx,300,3 drugs x2,n/a,3,no,drug_detection,1,complete,non-biochemical
serum_protocol_comparison,Serum protocol comparison,calibration,substrate_physics,serum,serum,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_protocol_comparison,75 txt,75,5 protocols x3x5,n/a,n/a,no,calibration,1,complete,matrix protocol study
raman_knowledge_core,Raman knowledge core (ontology),supporting_literature,substrate_physics,knowledge,n/a,n/a,/Volumes/SSD_Rad/GAIRA_DATA/raw/raman_knowledge_core,7 csv,0 spectra,n/a,n/a,n/a,indirect,knowledge(DB peak_assignments 288),2,complete,"ontology/knowledge, not spectra"
diabetes_plasma_ev_sers,Diabetes plasma-EV SERS,biological_mixtures,,plasma-EV,EV,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/diabetes_plasma_ev_sers,3,31834,63,63,n/a,YES,DB pilot2,3,complete,technical map scans; 39 raw vs 40 meta
shine_ev_sers,SHINE EV-SERS hepatotox,biological_mixtures,,EV,EV/cell,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/shine_ev_sers,zip,23646,~41 wells,cell-line,n/a,YES(reduced),DB pilot3,3,complete,3-axis collapse; no mean spectra
small2023_ev,small2023 cell-line EV mixtures,biological_mixtures,,EV,cell-line EV,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/small2023_ev,2 mat,105140,5-6 lines,cell-line,n/a,no,DB pilot1/1b,3,complete,AUGMENTED synthetic mixtures
cca_hcc_lm_serum_sers,CCA/HCC/LM/HA serum SERS,biological_mixtures,,serum,serum,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/cca_hcc_lm_serum_sers,234,234,218,218,n/a,YES(212),DB pilot4_1,3,complete,SER-CCA-58 dup
hcc_serum,HCC serum CTR/H0T,biological_mixtures,,serum,serum,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/hcc_serum,144,144,91,91,n/a,no,SKIPPED,3,complete,registered but skipped
covid_serum_raman,COVID serum Raman,biological_mixtures,,serum,serum,Raman,/Volumes/SSD_Rad/GAIRA_DATA/raw/covid_serum_raman,7,465,~157,~157,n/a,no,DB pilot5,3,complete,pilot5 spectrum-as-patient
ovarian_plasma_raman_sers,Ovarian plasma Raman+SERS,biological_mixtures,,plasma,plasma,Raman+SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/ovarian_plasma_raman_sers,770,770,55,55,n/a,no,global_v2,3,complete,paired modality
ucla_saliva_sev_gc,UCLA saliva sEV gastric cancer,biological_mixtures,,salivary EV,saliva EV,Raman,/Volumes/SSD_Rad/GAIRA_DATA/raw/ucla_saliva_sev_gc,2231,2231,18,18,n/a,no,global_v2,3,complete,single-vesicle; 1 healthy donor
coeliac_faecal_sers,Coeliac faecal SERS,biological_mixtures,,faecal,faeces,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/coeliac_faecal_sers,30,27,27,27,n/a,no,global_v2,3,complete,small n
stroke_urine_sers,Stroke urine SERS,biological_mixtures,,urine,urine,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/stroke_urine_sers,rar,482,132,132,n/a,no,global_v2,3,complete,rar-recovered; paired 532/633
mycoplasma_na_sers,Mycoplasma NA-SERS,biological_mixtures,,microbial,culture,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/mycoplasma_na_sers,1,521,44 strains,n/a,n/a,no,global_v2,3,complete,not human
single_vesicle_ev_raman,Single-vesicle EV Raman,biological_mixtures,,EV,cell-line EV,Raman,/Volumes/SSD_Rad/GAIRA_DATA/raw/single_vesicle_ev_raman,rar,525,6 preps,cell-line,n/a,no,global_v2,3,complete,rar-recovered
lab_cracked_au,LAB_DATA Cracked/porous Au,biological_mixtures,substrate_physics,in-house,EV/RNA,SERS,/Volumes/SSD_Rad/LAB_DATA/Cracked_Au,5252,5252,8 wells,n/a,n/a,no,no,3,complete,in-house; 2500 non-bio 4-MBA; unwired
serum_ag_colloids_grounding,(empty raw; in DB),molecular_grounding,,serum,serum,SERS,/Volumes/SSD_Rad/GAIRA_DATA/raw/serum_ag_colloids_grounding,0(EMPTY),368(DB),n/a,n/a,n/a,YES(DB),DB grounding_metadata,1,processed-only,empty raw folder; data in duckdb
