analyte,broad_family,subclass,detection_confidence,detection_tier,detection_pass,latent_identity_recovered,component_recovered,mss_present_top3,mss_motif_recovered,expected_mss,theme_present_top3,theme_recovered,expected_theme,perturbation_status,serum_tier,matrix_recovered,transfer_case,transfer_note,roadmap_group
leucine,amino_acid,aliphatic_amino_acid,0.4929,POOR,False,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
mannose,saccharide,monosaccharide,0.4779,POOR,False,False,False,False,False,glycan_co_network,True,False,saccharide_glycan,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
methionine,amino_acid,sulfur_amino_acid,0.3145,UNDETECTABLE,False,False,False,True,False,sulfur_heterocycle_thione,False,False,protein_peptide,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
n-acetylglucosamine,saccharide,amino_sugar,0.4029,POOR,False,False,False,False,False,glycan_co_network,True,False,saccharide_glycan,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
oleate,lipid,fatty_acid,0.3329,UNDETECTABLE,False,False,False,True,False,carboxylate_organic_acid,False,False,lipid_acyl,not tested,strong,True,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
phenylalanine,amino_acid,aromatic_amino_acid,0.4194,POOR,False,False,False,False,False,aromatic_ring_residue,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
phosphate,organic_acid,inorganic_phosphate,0.538,MODERATE,True,False,False,False,False,unassigned,True,False,organic_acid_metabolism,not tested,weak,False,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
phosphatidylinositol,lipid,phospholipid,0.4999,POOR,False,False,False,False,False,lipid_acyl_chain,False,False,lipid_acyl,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
phosphoenolpyruvate,organic_acid,carboxylic_acid,0.4746,POOR,False,False,False,True,False,carboxylate_organic_acid,True,False,organic_acid_metabolism,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
proline,amino_acid,aliphatic_amino_acid,0.4475,POOR,False,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
pyruvate,organic_acid,carboxylic_acid,0.3618,UNDETECTABLE,False,False,False,True,False,carboxylate_organic_acid,True,False,organic_acid_metabolism,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
riboflavin,cofactor,flavin,0.5502,MODERATE,True,False,False,False,False,flavin_redox_cofactor,False,False,redox_broad,not tested,moderate,False,B · representation-limited (hard),Detectable but no expected motif/theme present — transfer help uncertain; representation gap is large.,probably impossible (no chemistry present)
serine,amino_acid,aliphatic_amino_acid,0.3669,UNDETECTABLE,False,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
stearate,lipid,fatty_acid,0.652,GOOD,True,False,False,True,True,carboxylate_organic_acid,False,False,lipid_acyl,not tested,moderate,False,B · representation-limited (promising),Detectable with broad chemistry present but exact identity lost — a learned Raman→SERS transfer model may help.,potentially recoverable (transfer worth trying)
thymine,pyrimidine,oxopyrimidine,0.4472,POOR,False,True,False,True,False,pyrimidine_ring,False,False,nucleic_pyrimidine,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,already recoverable
triolein,lipid,triacylglycerol,0.3611,UNDETECTABLE,False,False,False,False,False,lipid_acyl_chain,False,False,lipid_acyl,not tested,weak,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
tryptophan,amino_acid,aromatic_amino_acid,0.6317,MODERATE,True,False,False,False,False,aromatic_ring_residue,False,False,protein_peptide,not tested,moderate,False,B · representation-limited (hard),Detectable but no expected motif/theme present — transfer help uncertain; representation gap is large.,probably impossible (no chemistry present)
tyrosine,amino_acid,aromatic_amino_acid,0.4227,POOR,False,False,False,False,False,aromatic_ring_residue,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,probably impossible (weak signal)
uracil,pyrimidine,oxopyrimidine,0.5901,MODERATE,True,False,False,False,False,pyrimidine_ring,False,False,nucleic_pyrimidine,not tested,moderate,False,B · representation-limited (hard),Detectable but no expected motif/theme present — transfer help uncertain; representation gap is large.,probably impossible (no chemistry present)
urate,purine,oxopurine,0.8942,GOOD,True,True,False,True,False,oxopurine_carbonyl,True,False,nucleic_purine,directional depletion,strong,True,C · already recoverable,Detectable AND exact identity already recovered — transfer unnecessary.,already recoverable
urea,small_nitrogenous,guanidino_small_n,0.6963,GOOD,True,True,False,False,False,unassigned,True,False,organic_acid_metabolism,not tested,weak,False,C · already recoverable,Detectable AND exact identity already recovered — transfer unnecessary.,already recoverable
valine,amino_acid,aliphatic_amino_acid,0.3628,UNDETECTABLE,False,False,False,False,False,protein_amide_backbone,False,False,protein_peptide,not tested,moderate,False,A · measurement-limited,Ag-SERS carries no reproducible signal — no transfer model helps; needs a better substrate/observation channel.,impossible (measurement-limited)
xanthine,purine,oxopurine,0.9948,GOOD,True,True,False,True,False,oxopurine_carbonyl,True,True,nucleic_purine,not tested,strong,True,C · already recoverable,Detectable AND exact identity already recovered — transfer unnecessary.,already recoverable
